選挙区,定員,立候補者氏名,"立候補者氏名
（かな）",性別,年齢,党派,新 現 元,ウェブサイト
千代田区,,,,,,,,
,,ひぐちたかあき,ひぐち　たかあき,男,34,都民ファーストの会,新,http://h-takaaki.or.jp
,,須賀かずお,すが　かずお,男,61,無所属,新,なし
,,中村あや,なかむら　あや,女,27,自由民主党,新,http://nakamuraaya.com
,,ごとうてるき,ごとう　てるき,男,34,国民ファーストの会,新,http://gototeruki.web.fc2.com
中央区,,,,,,,,
,,森山高至,もりやま　たかし,男,51,無所属,新,http://www.toshi-kangaerukai.jp/
,,立石はるやす,たていし　はるやす,男,75,無所属,現,http://立石はるやす.jp/
,,西郷あゆ美,さいごう　あゆみ,女,32,都民ファーストの会,新,http://www.ayumi-m.com
,,さいとうかずえ,さいとう　かずえ,女,48,希望ファーストの会,新,https://www.facebook.com/Kibou1st
,,石島ひでき,いしじま　ひでき,男,57,自由民主党,新,http://www.ishijimahideki.com/
港区,,,,,,,,
,,入江のぶこ,いりえ　のぶこ,女,55,都民ファーストの会,新,https://tomin1minato.tokyo/
,,かんの弘一,かんの　こういち,男,58,自由民主党,現,http://www.kanno-ko.com/
,,大塚たかあき,おおつか　たかあき,男,57,無所属,元,http://www.otsuka-t.jp
,,染谷ふみ子,そめや　ふみこ,女,65,日本共産党,新,なし
,,なべ島ひさし,なべしま　ひさし,男,53,幸福実現党,新,http://www.nabeshima.tokyo/
,,きたしろ勝彦,きたしろ　かつひこ,男,72,自由民主党,現,http://www.kitashiro.gr.jp/
新宿区,,,,,,,,
,,古城まさお,こじょう　まさお,男,37,公明党,新,http://www.komei.or.jp/km/kojomasao/
,,あおじまみ,あおじ　まみ,女,50,民進党,新,https://www.facebook.com/groups/625715320966200/?ref=aymt_homepage_panel
,,大山とも子,おおやま　ともこ,女,61,日本共産党,現,http://ohyama-tomoko.com
,,大門さちえ,だいもん　さちえ,女,48,自由民主党,現,http://sachiedaimon.com/
,,森口つかさ,もりぐち　つかさ,男,35,都民ファーストの会,新,https://www.tsukasa-moriguchi.info/
,,秋田一郎,あきた　いちろう,男,51,自由民主党,現,http://www.akita160.jp/
,,浜野秀昭,はまの　ひであき,男,37,無所属,新,http://hamano.black/
文京区,,,,,,,,
,,なかや文孝,なかや　ふみたか,男,51,自由民主党,現,http://f-nakaya.jp/
,,福手ゆう子,ふくて　ゆうこ,女,40,日本共産党,新,http://yufukute.exblog.jp/
,,増子ひろき,ますこ　ひろき,男,57,都民ファーストの会,元,http://masuko.tokyo
台東区,,,,,,,,
,,いずみひろし,いずみ　ひろし,男,60,自由民主党,現,http://www.izumi-hiroshi.tokyo
,,小柳しげる,こやなぎ　しげる,男,44,日本共産党,新,なし
,,中山ひろゆき,なかやま　ひろゆき,男,45,無所属,現,http://www.nakayama-hiroyuki.jp
,,保坂まさひろ,ほさか　まさひろ,男,43,都民ファーストの会,新,https://www.hosakamasahiro.com
,,武田完兵,たけだ　かんべえ,男,69,無所属,新,なし
墨田区,,,,,,,,
,,伊藤大気,いとう　だいき,男,38,日本共産党,新,http://kouho.jcp-tokyo.net/ito/
,,川松真一朗,かわまつ　しんいちろう,男,36,自由民主党,現,https://kawamatsu2011.com/
,,桜井ひろゆき,さくらい　ひろゆき,男,51,自由民主党,現,http://www.h-sakurai.jp/
,,加藤まさゆき,かとう　まさゆき,男,52,公明党,現,http://www.komei.or.jp/km/kato-masayuki
,,なりきよりさ子,なりきよ　りさこ,女,27,都民ファーストの会,新,http://risakonarikiyo.com
江東区,,,,,,,,
,,白戸太朗,しらと　たろう,男,50,都民ファーストの会,新,http://www.shiratotaro.com
,,高橋めぐみ,たかはし　めぐみ,女,48,自由民主党,新,http://megutaka.jp/
,,細田いさむ,ほそだ　いさむ,男,56,公明党,新,http://www.isamu-hosoda.jp/
,,やまざき一輝,やまざき　いっき,男,44,自由民主党,現,http://www.ikki-y.jp/
,,柿沢ゆきえ,かきざわ　ゆきえ,女,47,無所属,現,http://nogamiyukie.com/
,,大沢のぼる,おおさわ　のぼる,男,52,民進党,元,http://www.0038.jp
,,古賀美子,こが　よしこ,女,48,無所属,新,https://lineblog.me/casinomimi/
,,あぜ上三和子,あぜがみ　みわこ,女,61,日本共産党,現,http://azegami-miwako-jcp.info/
,,表なつこ,おもて　なつこ,女,33,幸福実現党,新,http://www.omote-natsuko.com
品川区,,,,,,,,
,,田中たけし,たなか　たけし,男,54,自由民主党,現,http://tanaka-takeshi.com
,,白石たみお,しらいし　たみお,男,35,日本共産党,現,http://S-tamio.net
,,もりさわ恭子,もりさわ　きょうこ,女,38,都民ファーストの会,新,http://kyokomorisawa.jp
,,沢田ひろかず,さわだ　ひろかず,男,36,自由民主党,新,http://www.sawada-hirokazu.com
,,伊藤こういち,いとう　こういち,男,56,公明党,現,http://www.koichi-ito.net
,,あべ祐美子,あべ　ゆみこ,女,52,民進党,新,http://www.abeyumiko.com
,,山内あきら,やまうち　あきら,男,48,都民ファーストの会,現,http://www.a-yamauchi.com
目黒区,,,,,,,,
,,斉藤やすひろ,さいとう　やすひろ,男,54,公明党,現,http://www.saitou-yasuhiro.com/
,,星見てい子,ほしみ　ていこ,女,59,日本共産党,新,http://kouho.jcp-tokyo.net/hoshimi
,,鈴木隆道,すずき　たかみち,男,66,自由民主党,現,http://s-takamichi.com/
,,伊藤ゆう,いとう　ゆう,男,40,都民ファーストの会,元,http://www.itoyuu.tokyo/
,,栗山よしじ,くりやま　よしじ,男,47,自由民主党,現,http://kuriyama-yoshiji.com/
大田区,,,,,,,,
,,藤井一,ふじい　はじめ,男,63,公明党,現,http://www.hajimeclub.net/
,,みぞぐち晃一,みぞぐち　こういち,男,48,無所属,新,http://www.koichi-mizoguchi.com
,,藤田りょうこ,ふじた　りょうこ,女,42,日本共産党,新,http://r-fujita.jcp-ota.jp/
,,神林茂,かみばやし　しげる,男,64,自由民主党,現,http://www.s-kamibayashi-senkyo.com
,,もり愛,もり　あい,女,40,都民ファーストの会,新,http://www.spyros.tokyo/moriai/moriaiHP/
,,すどうえいじ,すどう　えいじ,男,48,無所属,新,http://www3.point.ne.jp/~dh18eberharter
,,鈴木あきまさ,すずき　あきまさ,男,59,自由民主党,現,http://www.akimasa.info
,,遠藤守,えんどう　まもる,男,50,公明党,現,http://endomamoru.com/
,,鈴木あきひろ,すずき　あきひろ,男,54,自由民主党,現,http://www.akihiro3708.com
,,沢田大作,さわだ　だいさく,男,38,民進党,新,http://d139.jp
,,栗下善行,くりした　ぜんこう,男,34,都民ファーストの会,元,http://kurishitazenko.jp
,,やながせ裕文,やながせ　ひろふみ,男,42,日本維新の会,現,http://www.yanagase.org
,,飯田佳宏,いいだ　よしひろ,男,44,地方議員ゼロの会,新,なし
,,佐藤伸,さとう　しん,男,43,日本共産党,新,http://www.shin310.net/
,,井出鬼子雄,いで　きしお,男,76,無所属,新,なし
世田谷区,,,,,,,,
,,ふじた孝行,ふじた　たかゆき,男,47,無所属,新,http://www.世田谷区ふじた孝行.tokyo/
