選挙区,定員,立候補者氏名,"立候補者氏名（かな）",性別,年齢,党派,新 現 元,ウェブサイト,Twitter URL,Facebook ID,YouTube URL,Instagram ID,Google+ URL,処理エラー
千代田区,,,,,,,,,,,,,,
,,ひぐちたかあき,ひぐち　たかあき,男,34,都民ファーストの会,新,http://h-takaaki.or.jp,https://twitter.com/@higuchi_takaaki,https://www.facebook.com/higuchi.takaaki34/,,https://www.instagram.com/higuchi.takaaki34/,,
,,須賀かずお,すが　かずお,男,61,無所属,新,なし,,,,,,
,,中村あや,なかむら　あや,女,27,自由民主党,新,http://nakamuraaya.com,https://twitter.com/ayanakamura0702,https://www.facebook.com/1852140831718719,,https://www.instagram.com/ayanakamura0702/,,
,,ごとうてるき,ごとう　てるき,男,34,国民ファーストの会,新,http://gototeruki.web.fc2.com,,,,,,
中央区,,,,,,,,,,,,,,
,,森山高至,もりやま　たかし,男,51,無所属,新,http://www.toshi-kangaerukai.jp/,https://twitter.com/@mori_arch_econo,https://www.facebook.com/moriyamatakashi.jp/,,,,
,,立石はるやす,たていし　はるやす,男,75,無所属,現,http://立石はるやす.jp/,,http://www.facebook.com/tateishiharuyasu,,,,
,,西郷あゆ美,さいごう　あゆみ,女,32,都民ファーストの会,新,http://www.ayumi-m.com,,https://www.facebook.com/profile.php?id=100008945136346,,,,
,,さいとうかずえ,さいとう　かずえ,女,48,希望ファーストの会,新,https://www.facebook.com/Kibou1st,,https://www.facebook.com/Kibou1st#,,,,
,,石島ひでき,いしじま　ひでき,男,57,自由民主党,新,http://www.ishijimahideki.com/,https://twitter.com/#!/ishijimahideki,https://www.facebook.com/ishijimahideki,,,,
港区,,,,,,,,,,,,,,
,,入江のぶこ,いりえ　のぶこ,女,55,都民ファーストの会,新,https://tomin1minato.tokyo/,https://twitter.com/@irienobuko,https://www.facebook.com/IrieNobukoMinato/,https://www.youtube.com/channel/UCE4wl6JIFtBjESzCBa4SoZA,,,
,,かんの弘一,かんの　こういち,男,58,自由民主党,現,http://www.kanno-ko.com/,https://twitter.com/#!/kanno_TokyoMA,https://www.facebook.com/1795438734105315/,,,,
,,大塚たかあき,おおつか　たかあき,男,57,無所属,元,http://www.otsuka-t.jp,,https://www.facebook.com/takaaki.otsuka.58,,,,
,,染谷ふみ子,そめや　ふみこ,女,65,日本共産党,新,なし,,,,,,
,,なべ島ひさし,なべしま　ひさし,男,53,幸福実現党,新,http://www.nabeshima.tokyo/,https://twitter.com/@nabehisashi,https://www.facebook.com/nabehisashi,,,https://plus.google.com/u/0/117116612688864692953/,
,,きたしろ勝彦,きたしろ　かつひこ,男,72,自由民主党,現,http://www.kitashiro.gr.jp/,https://twitter.com/kitshiro_office,https://www.facebook.com/%E3%81%8D%E3%81%9F%E3%81%97%E3%82%8D%E5%8B%9D%E5%BD%A6-414748678897801/,,https://www.instagram.com/katsuhiko.kitashiro/?hl=ja,,
新宿区,,,,,,,,,,,,,,
,,古城まさお,こじょう　まさお,男,37,公明党,新,http://www.komei.or.jp/km/kojomasao/,,,https://www.youtube.com/embed/pMv2XBbDrn4?rel=0,,,
,,あおじまみ,あおじ　まみ,女,50,民進党,新,https://www.facebook.com/groups/625715320966200/?ref=aymt_homepage_panel,,https://www.facebook.com/allactivity?privacy_source=activity_log_top_menu,,,,
,,大山とも子,おおやま　ともこ,女,61,日本共産党,現,http://ohyama-tomoko.com,,https://www.facebook.com/%E5%A4%A7%E5%B1%B1%E3%81%A8%E3%82%82%E5%AD%90%E4%BA%8B%E5%8B%99%E6%89%80-341097192660414/,,,,
,,大門さちえ,だいもん　さちえ,女,48,自由民主党,現,http://sachiedaimon.com/,,https://www.facebook.com/sachie.daimon,,,,
,,森口つかさ,もりぐち　つかさ,男,35,都民ファーストの会,新,https://www.tsukasa-moriguchi.info/,https://twitter.com/@tsukasamorigu,https://www.facebook.com/tsukasa.moriguchi.yy/,,,,
,,秋田一郎,あきた　いちろう,男,51,自由民主党,現,http://www.akita160.jp/,,,,,,
,,浜野秀昭,はまの　ひであき,男,37,無所属,新,http://hamano.black/,https://twitter.com/@sevenchord7,https://www.facebook.com/hideaki.hamano.5,,https://www.instagram.com/syachi9.black/,,
